iter,view_total,view_num,spin_total,spin_num,time,memory
11,25,25,75,10,1716722335595,328605928
11,25,25,75,11,1716722335595,328605928
11,25,25,75,12,1716722335595,328605928
11,25,25,75,13,1716722335595,328605928
11,25,25,75,14,1716722335595,328605928
11,25,25,75,15,1716722335595,328605928
11,25,25,75,16,1716722335595,328605928
11,25,25,75,17,1716722335595,328605928
11,25,25,75,18,1716722335595,328605928
11,25,25,75,19,1716722335595,328605928
11,25,25,75,20,1716722335595,328605928
11,25,25,75,21,1716722335595,328605928
11,25,25,75,22,1716722335595,328605928
11,25,25,75,23,1716722335595,328605928
11,25,25,75,24,1716722335595,328605928
11,25,25,75,25,1716722335595,328605928
11,25,25,75,26,1716722335595,328605928
11,25,25,75,27,1716722335595,328605928
11,25,25,75,28,1716722335595,328605928
11,25,25,75,29,1716722335595,328605928
11,25,25,75,30,1716722335595,328605928
